max_hover,scroll_reversals,scroll_sample_count,has_technical_selection,loyalty_tier,label
5.0105,5,6,0,1,loyalty_recognition
7.6322,1,10,1,0,technical_friction
7.015,1,2,0,0,none
7.8112,1,4,0,1,loyalty_recognition
4.9615,5,8,1,0,technical_friction
9.6034,0,0,0,0,none
6.557,2,3,1,0,technical_friction
2.2319,0,8,0,1,loyalty_recognition
6.2272,5,7,0,0,price_hesitation
7.5893,4,6,1,0,technical_friction
9.7455,0,1,0,0,none
0.6228,2,10,1,0,none
5.3592,2,3,1,0,technical_friction
8.3592,2,5,1,1,loyalty_recognition
5.5595,3,8,1,1,loyalty_recognition
2.5882,0,1,0,1,loyalty_recognition
0.9198,1,5,1,0,none
2.1472,1,2,1,0,none
8.8278,0,7,1,0,technical_friction
7.1337,6,7,0,0,price_hesitation
5.8399,2,3,1,0,technical_friction
9.3521,1,2,1,0,technical_friction
7.0056,2,9,0,1,loyalty_recognition
1.3049,1,2,1,1,loyalty_recognition
8.6067,0,1,0,0,none
3.226,1,2,0,0,none
8.896,5,9,1,0,technical_friction
8.0881,3,9,0,1,price_hesitation
2.6521,1,3,0,0,none
8.8455,6,7,0,0,price_hesitation
5.4705,0,1,0,0,none
9.4244,1,2,1,1,loyalty_recognition
9.2557,4,8,0,0,price_hesitation
1.7083,1,4,0,1,loyalty_recognition
1.8488,5,6,1,1,loyalty_recognition
5.8973,0,8,0,0,none
5.021,2,8,1,0,technical_friction
2.5789,0,1,0,0,none
4.5816,0,0,0,1,loyalty_recognition
1.4964,1,9,0,0,none
6.1824,6,10,1,0,technical_friction
4.4311,4,5,0,0,price_hesitation
3.1112,6,8,1,0,price_hesitation
6.8117,2,3,0,0,none
8.3087,0,1,1,1,loyalty_recognition
2.1432,2,3,0,0,none
8.0086,2,3,0,0,none
2.1821,3,4,0,0,price_hesitation
6.4059,3,4,0,0,price_hesitation
6.6053,2,10,0,0,none
9.4067,4,5,1,1,loyalty_recognition
6.7971,1,5,1,1,loyalty_recognition
4.7054,1,10,0,1,loyalty_recognition
8.6239,1,2,0,0,none
7.6119,1,2,0,0,none
9.6533,0,6,1,1,loyalty_recognition
2.4882,4,5,1,0,price_hesitation
6.8678,1,2,0,0,none
4.0339,2,3,0,1,loyalty_recognition
8.7654,3,4,0,0,price_hesitation
4.744,1,2,0,0,none
6.0563,1,2,0,1,price_hesitation
4.9774,3,9,0,0,price_hesitation
8.3523,7,10,1,1,loyalty_recognition
0.4589,1,2,1,0,none
8.1496,1,2,0,0,none
4.2174,1,2,1,0,technical_friction
4.8267,7,9,1,0,technical_friction
2.2398,5,10,0,0,loyalty_recognition
7.5143,3,5,1,0,technical_friction
3.1606,0,7,1,0,none
6.7147,4,5,0,0,price_hesitation
8.2988,3,4,0,0,price_hesitation
1.9592,0,1,1,0,none
7.5715,0,0,0,0,none
6.5846,2,8,0,1,loyalty_recognition
3.8741,5,9,0,0,price_hesitation
9.3551,3,10,1,0,technical_friction
4.1748,4,8,0,0,price_hesitation
7.8436,2,3,1,0,none
2.8764,0,10,0,0,none
7.0463,5,10,0,0,price_hesitation
7.0969,0,2,1,0,technical_friction
6.6189,6,7,0,0,price_hesitation
9.5031,8,9,0,0,price_hesitation
3.7496,7,8,0,0,price_hesitation
7.4138,1,6,0,1,loyalty_recognition
9.1099,5,6,0,0,price_hesitation
7.8689,1,4,1,0,technical_friction
7.9677,4,8,0,1,technical_friction
7.483,3,5,0,0,price_hesitation
0.5439,7,8,0,1,none
6.9346,1,2,0,0,price_hesitation
7.3982,4,6,0,1,loyalty_recognition
8.2644,3,8,1,0,technical_friction
5.3968,2,10,0,1,loyalty_recognition
4.4622,1,2,0,0,technical_friction
2.6436,0,3,0,0,none
0.399,5,10,1,0,none
8.6772,6,7,0,1,none
1.1334,7,10,0,0,none
7.1955,4,10,0,1,loyalty_recognition
5.906,2,3,0,1,loyalty_recognition
5.9981,7,8,0,1,loyalty_recognition
9.0786,1,9,0,0,none
6.5455,4,5,0,1,loyalty_recognition
5.5756,1,2,0,0,none
1.3807,1,10,0,0,none
8.2326,6,7,1,0,technical_friction
2.8601,0,0,0,1,loyalty_recognition
1.6948,0,0,1,1,loyalty_recognition
1.5744,3,4,0,0,none
5.8293,4,5,1,0,technical_friction
1.1701,4,8,0,0,none
0.6755,3,10,0,1,none
2.6908,3,10,0,1,loyalty_recognition
5.4147,0,0,0,0,price_hesitation
8.9812,4,9,0,0,price_hesitation
1.2037,7,8,1,1,loyalty_recognition
3.7231,4,6,0,0,price_hesitation
4.7299,0,0,0,1,loyalty_recognition
8.9327,8,10,0,0,price_hesitation
8.6737,3,9,0,0,price_hesitation
8.0772,4,5,0,0,price_hesitation
2.7125,5,7,0,0,price_hesitation
8.7869,0,8,1,0,technical_friction
6.2648,1,2,0,1,loyalty_recognition
8.709,3,4,0,0,price_hesitation
5.3967,0,1,1,0,technical_friction
5.2332,1,2,1,0,none
0.0913,4,6,0,0,none
4.2224,2,3,0,0,none
1.88,0,1,1,1,loyalty_recognition
7.0047,3,7,1,1,loyalty_recognition
4.2024,5,7,0,0,price_hesitation
7.1468,5,6,1,0,none
4.8123,3,4,0,1,loyalty_recognition
7.8914,0,0,0,0,technical_friction
6.8841,1,2,0,1,loyalty_recognition
6.2513,0,0,0,0,none
7.9147,1,2,1,0,technical_friction
1.9297,5,6,0,0,none
8.6056,1,2,0,0,none
5.0596,0,2,0,0,none
9.6716,3,6,0,0,price_hesitation
1.7864,0,0,1,1,loyalty_recognition
0.3182,6,10,0,0,none
8.2203,0,0,0,0,price_hesitation
8.3446,0,1,0,1,loyalty_recognition
1.8946,3,8,0,0,none
5.0469,2,10,0,0,none
3.6001,6,7,0,1,technical_friction
9.1911,7,8,0,0,loyalty_recognition
1.729,1,9,0,0,none
6.5278,0,9,0,0,none
7.5284,8,9,1,0,technical_friction
5.6117,3,8,1,0,technical_friction
3.4972,2,7,0,0,none
8.3244,0,4,1,0,technical_friction
5.4642,3,4,0,0,price_hesitation
2.8401,4,9,1,0,price_hesitation
8.6677,1,8,1,0,loyalty_recognition
6.2523,2,3,1,1,loyalty_recognition
3.4179,2,6,1,0,none
1.3177,2,10,0,0,none
5.3296,0,1,1,0,technical_friction
8.8013,5,6,1,0,technical_friction
2.3218,0,10,0,0,none
0.1501,3,4,1,0,none
3.249,3,7,0,0,price_hesitation
4.5161,0,0,0,0,none
7.3517,6,8,0,0,loyalty_recognition
5.0066,1,2,1,0,technical_friction
8.9579,1,7,1,0,technical_friction
7.9107,2,8,0,0,none
9.6097,2,4,1,1,loyalty_recognition
6.0798,3,7,1,0,technical_friction
6.5328,0,0,0,0,none
8.3801,3,4,0,1,loyalty_recognition
1.7742,5,7,0,1,loyalty_recognition
6.1205,0,1,0,0,none
9.8628,3,4,0,0,price_hesitation
8.0798,3,9,0,0,price_hesitation
6.4062,3,4,0,0,price_hesitation
0.2912,1,2,1,0,none
4.815,7,10,0,0,price_hesitation
6.2651,1,2,1,1,loyalty_recognition
0.3163,1,6,0,1,none
4.4377,0,0,0,1,loyalty_recognition
3.4012,6,7,1,0,price_hesitation
3.3329,0,0,0,0,technical_friction
3.1248,4,9,0,1,loyalty_recognition
5.4937,2,4,0,0,none
0.2899,0,10,1,1,none
5.3348,2,7,1,0,technical_friction
2.5805,4,5,1,0,price_hesitation
3.4862,2,9,0,0,none
0.6606,2,3,0,0,price_hesitation
5.7419,1,7,0,0,technical_friction
4.943,0,10,1,0,technical_friction
3.166,4,9,0,0,price_hesitation
9.787,0,1,0,1,price_hesitation
3.1813,5,6,0,0,price_hesitation
0.1571,6,7,0,1,none
8.468,2,3,1,0,technical_friction
4.8153,0,1,0,0,none
2.7942,1,8,0,0,none
7.7853,6,7,0,0,price_hesitation
5.7286,4,10,0,0,price_hesitation
4.4665,1,2,0,1,loyalty_recognition
1.4507,1,2,0,0,none
5.7776,0,5,0,0,technical_friction
5.3252,5,6,0,1,loyalty_recognition
4.3179,4,10,1,0,technical_friction
0.1196,0,1,1,0,none
1.9308,0,0,1,0,none
8.9397,1,3,0,1,loyalty_recognition
8.032,1,2,0,0,none
2.7638,5,6,1,0,price_hesitation
3.9263,7,10,1,0,price_hesitation
3.2983,0,6,0,0,none
9.5416,1,7,0,0,loyalty_recognition
8.4118,3,4,1,1,loyalty_recognition
6.3279,2,3,1,1,loyalty_recognition
4.9968,0,7,1,1,loyalty_recognition
1.4895,3,9,0,1,loyalty_recognition
5.9104,0,1,0,0,none
4.2621,6,10,1,0,technical_friction
8.4737,6,9,0,1,loyalty_recognition
6.9167,2,9,0,0,none
4.6422,3,10,1,1,loyalty_recognition
0.5246,2,8,1,1,none
0.9806,3,6,0,1,none
6.3202,3,4,1,1,loyalty_recognition
8.8641,2,9,0,0,none
7.3002,2,3,1,0,technical_friction
7.3348,0,8,0,0,none
3.5841,1,3,1,0,none
4.5484,1,2,1,0,technical_friction
8.9343,4,5,1,0,price_hesitation
1.1097,4,5,0,0,none
5.8012,2,3,1,0,technical_friction
5.0145,0,1,0,0,none
6.2095,1,10,1,0,technical_friction
2.9317,8,10,0,0,price_hesitation
7.8935,1,2,1,0,technical_friction
9.5621,2,9,0,0,none
3.4385,4,5,0,1,loyalty_recognition
5.0741,4,10,0,0,price_hesitation
6.0815,2,3,1,0,technical_friction
0.8738,6,8,1,0,none
4.4422,5,6,1,0,none
7.5611,0,1,0,0,none
7.1025,1,2,1,0,technical_friction
5.8521,6,7,0,1,loyalty_recognition
2.7722,0,1,0,0,loyalty_recognition
4.7604,0,1,0,0,none
0.5851,4,5,0,1,none
6.2803,0,1,0,0,none
3.0107,5,10,1,0,price_hesitation
9.525,7,8,0,0,price_hesitation
7.4446,0,1,1,0,technical_friction
2.0984,0,1,0,0,none
7.5733,0,0,1,0,technical_friction
5.1348,0,0,1,0,technical_friction
0.6625,0,10,0,0,none
5.0063,3,9,0,1,loyalty_recognition
4.7472,2,9,0,0,none
2.8827,0,0,1,1,loyalty_recognition
2.8361,4,9,0,0,price_hesitation
5.2266,1,10,1,0,technical_friction
4.9911,4,9,0,0,price_hesitation
0.2972,0,0,0,1,none
1.791,5,9,1,0,none
4.3041,0,1,0,0,none
1.7687,4,10,0,1,loyalty_recognition
3.778,5,10,0,0,price_hesitation
2.3462,1,4,0,1,loyalty_recognition
4.2247,6,8,1,0,technical_friction
3.6333,3,6,0,0,price_hesitation
7.1771,1,9,0,0,none
2.5126,7,8,0,0,price_hesitation
9.3464,0,10,0,0,none
6.4604,3,4,0,1,loyalty_recognition
2.0199,2,4,1,0,none
0.5533,0,1,0,0,none
3.6343,1,10,0,0,none
1.2228,4,5,0,0,none
0.5593,5,8,0,1,none
9.4085,3,10,1,0,technical_friction
2.1039,1,2,0,0,none
0.8009,6,7,0,0,none
6.4159,7,10,0,1,loyalty_recognition
2.6068,5,10,0,1,loyalty_recognition
6.18,4,9,1,0,technical_friction
2.8796,6,7,1,0,price_hesitation
0.8574,2,7,0,0,none
9.0823,0,9,1,0,technical_friction
4.6808,0,1,0,0,none
9.7852,4,7,0,0,none
6.5742,0,7,1,1,loyalty_recognition
9.8882,7,8,0,1,loyalty_recognition
7.6685,1,2,0,1,loyalty_recognition
6.8131,1,10,0,0,none
9.509,2,5,1,1,loyalty_recognition
2.4008,1,6,1,1,loyalty_recognition
8.0635,2,4,0,1,loyalty_recognition
0.9022,5,6,0,0,none
8.0154,2,4,0,0,none
1.0763,5,6,1,0,none
8.7676,3,4,0,0,price_hesitation
7.4703,4,9,0,1,loyalty_recognition
3.6073,6,10,0,1,loyalty_recognition
0.2182,1,2,0,0,none
2.0134,6,9,1,1,loyalty_recognition
4.22,4,5,1,0,technical_friction
4.3811,3,8,0,0,price_hesitation
7.9976,1,2,1,0,technical_friction
4.9219,5,6,1,1,loyalty_recognition
2.2669,3,8,0,0,price_hesitation
4.5714,0,1,0,0,none
5.6247,1,8,1,1,loyalty_recognition
1.3777,2,3,0,0,technical_friction
7.152,5,6,0,1,loyalty_recognition
0.2976,0,2,0,0,none
7.7237,0,6,0,1,loyalty_recognition
9.7266,5,6,0,0,price_hesitation
6.9747,6,10,0,0,price_hesitation
3.0394,5,6,1,1,loyalty_recognition
5.8159,8,10,0,1,loyalty_recognition
3.6929,6,8,0,0,price_hesitation
5.2914,2,3,0,0,none
5.7176,0,0,1,0,technical_friction
9.9102,3,4,0,0,price_hesitation
7.3966,0,0,0,1,loyalty_recognition
0.4468,4,7,0,0,none
6.645,5,6,1,0,technical_friction
5.5935,2,3,0,1,loyalty_recognition
5.3186,0,0,0,1,loyalty_recognition
7.0562,7,9,1,0,technical_friction
1.5423,2,6,1,0,none
1.2097,2,3,0,0,none
0.6546,0,0,0,0,none
0.1862,1,8,1,0,none
2.4516,5,6,0,1,loyalty_recognition
8.4244,2,3,1,1,loyalty_recognition
7.2507,3,4,1,0,technical_friction
3.2164,2,3,0,0,none
1.7354,7,8,0,0,none
4.6269,2,3,1,0,technical_friction
7.1781,2,3,0,1,loyalty_recognition
8.6992,8,9,0,0,price_hesitation
8.831,0,0,0,0,none
0.5186,4,5,0,0,none
0.0516,2,3,1,0,none
3.2922,0,1,1,0,none
9.3506,3,4,1,1,loyalty_recognition
6.2535,1,9,1,1,loyalty_recognition
0.5579,0,0,0,0,none
6.173,3,6,0,0,price_hesitation
4.5408,3,5,1,1,loyalty_recognition
2.4315,0,0,1,0,none
5.1313,5,10,1,0,technical_friction
9.7651,3,10,0,0,price_hesitation
2.2303,2,3,0,1,loyalty_recognition
3.6282,0,1,1,1,loyalty_recognition
5.8569,0,5,0,1,loyalty_recognition
1.9599,1,2,0,1,loyalty_recognition
3.3838,2,3,0,0,none
9.2416,2,3,0,0,none
8.5444,2,4,1,1,loyalty_recognition
0.6487,6,8,0,0,none
2.072,2,3,0,0,none
1.3433,0,1,0,0,none
6.2113,5,6,0,0,price_hesitation
5.4665,0,1,0,1,loyalty_recognition
2.0031,2,3,1,0,none
7.5238,4,8,1,0,technical_friction
5.1583,7,8,0,0,price_hesitation
3.5466,2,3,0,0,none
1.3913,4,5,0,1,loyalty_recognition
6.7489,0,2,0,0,none
3.8589,2,3,1,0,technical_friction
1.5704,0,1,0,0,none
8.657,1,2,1,0,technical_friction
5.8749,7,8,1,1,loyalty_recognition
2.9745,2,9,0,1,loyalty_recognition
5.3774,1,10,0,0,none
0.4464,0,0,0,0,none
4.619,4,5,0,0,price_hesitation
7.1358,2,7,0,0,none
1.535,2,5,1,1,loyalty_recognition
8.9701,4,6,0,0,price_hesitation
6.7996,0,1,0,1,loyalty_recognition
7.2401,0,0,0,0,none
3.2268,3,10,0,0,price_hesitation
3.6898,0,1,0,0,none
7.1253,2,9,1,1,loyalty_recognition
0.1765,7,9,0,0,none
9.2341,7,9,0,0,price_hesitation
5.2147,1,2,0,1,loyalty_recognition
9.3827,1,2,1,0,none
7.2499,2,4,0,1,loyalty_recognition
7.8129,0,1,0,1,loyalty_recognition
7.3493,1,2,1,0,technical_friction
7.2665,3,4,0,0,price_hesitation
0.0418,5,8,0,0,none
4.363,3,4,0,0,price_hesitation
8.1313,0,10,0,0,none
3.9767,1,9,0,1,loyalty_recognition
0.8887,5,10,0,0,none
1.8198,0,1,0,1,loyalty_recognition
8.0918,2,3,0,0,none
0.6426,0,0,0,0,none
1.0081,0,0,0,1,loyalty_recognition
5.8245,0,0,1,0,technical_friction
3.7567,4,8,0,0,price_hesitation
1.0018,6,7,0,0,none
9.4194,0,5,0,0,none
7.9396,4,5,0,0,loyalty_recognition
7.1667,0,0,0,1,loyalty_recognition
8.3235,7,8,1,0,technical_friction
6.6593,1,10,0,0,none
3.8165,8,10,0,0,price_hesitation
9.7985,4,5,0,0,price_hesitation
4.9983,2,7,0,1,loyalty_recognition
8.2869,4,7,0,0,price_hesitation
2.991,2,10,0,0,none
5.8038,0,0,0,1,loyalty_recognition
1.3756,4,7,0,1,loyalty_recognition
1.6822,0,0,0,0,none
9.4506,0,1,0,0,none
4.0399,0,0,1,0,technical_friction
6.8798,1,2,0,0,none
6.5031,3,4,0,1,loyalty_recognition
0.9455,2,9,0,0,none
7.8347,7,8,1,0,price_hesitation
0.8782,0,4,1,1,none
2.4834,0,0,0,0,none
5.341,1,2,0,0,none
6.8793,0,10,1,1,loyalty_recognition
9.0366,5,6,1,0,loyalty_recognition
3.1636,5,6,1,0,technical_friction
2.7365,0,1,0,1,loyalty_recognition
1.235,4,8,0,0,none
9.68,7,8,0,0,price_hesitation
7.0679,1,2,0,0,none
7.1847,2,3,0,1,loyalty_recognition
0.9363,0,9,1,0,none
5.3241,0,1,1,1,loyalty_recognition
4.2498,5,8,1,0,technical_friction
3.5329,0,0,0,1,loyalty_recognition
9.6973,3,5,0,0,price_hesitation
3.0482,8,10,0,1,loyalty_recognition
1.2384,0,7,1,0,none
8.3936,1,2,0,0,none
1.3368,5,6,0,1,loyalty_recognition
5.0186,2,6,1,1,loyalty_recognition
7.3743,5,6,1,0,technical_friction
4.7389,0,1,0,1,loyalty_recognition
1.4873,0,1,0,0,loyalty_recognition
0.1766,1,3,0,0,none
4.2707,0,0,1,0,technical_friction
9.43,3,6,1,1,loyalty_recognition
3.3428,0,1,0,0,none
3.6057,4,5,0,1,loyalty_recognition
8.1741,2,3,0,1,loyalty_recognition
7.2077,0,0,1,0,technical_friction
2.5253,5,8,0,0,loyalty_recognition
7.9439,2,3,0,0,none
3.9025,4,9,1,1,loyalty_recognition
2.9184,2,10,0,0,none
1.3361,4,9,1,1,loyalty_recognition
6.5382,8,10,1,0,technical_friction
1.6292,1,2,0,1,loyalty_recognition
9.7039,0,1,1,0,technical_friction
3.8399,0,1,0,0,none
0.836,0,2,0,1,none
8.5272,0,1,1,0,technical_friction
3.0738,2,7,1,0,none
2.2431,2,3,0,0,none
9.5647,3,4,1,0,technical_friction
1.5022,4,10,0,0,none
7.2134,1,7,1,0,technical_friction
4.1394,5,10,1,0,technical_friction
2.3519,0,0,0,1,loyalty_recognition
5.5837,1,2,1,0,technical_friction
8.5331,3,6,1,1,loyalty_recognition
4.7683,2,9,1,0,technical_friction
3.3734,0,10,1,1,loyalty_recognition
5.0187,2,3,0,0,none
3.9229,1,8,0,0,none
7.788,0,5,1,1,loyalty_recognition
9.292,2,3,1,0,technical_friction
9.8054,3,4,0,0,price_hesitation
7.7506,0,0,0,0,technical_friction
0.3741,1,2,0,1,none
6.5422,1,2,0,0,none
2.9084,6,9,1,0,price_hesitation
4.9891,5,7,1,0,technical_friction
1.4045,0,1,1,0,none
9.1714,1,2,0,0,none
4.5009,0,10,0,0,none
0.935,6,7,0,0,none
4.5458,2,8,0,1,loyalty_recognition
0.2294,6,10,1,0,none
3.4928,5,6,0,0,price_hesitation
6.6406,0,5,1,0,technical_friction
0.0368,2,7,0,0,none
1.9116,0,10,0,0,none
3.3583,1,2,0,1,loyalty_recognition
6.8855,4,6,0,0,price_hesitation
0.997,6,7,0,1,none
7.0383,0,6,0,0,none
0.0416,0,6,1,1,none
2.4183,3,6,0,0,price_hesitation
2.3097,1,2,1,0,none
3.224,0,1,1,1,loyalty_recognition
6.181,1,8,0,1,loyalty_recognition
8.071,4,6,0,0,none
8.4462,2,3,1,0,technical_friction
6.3355,2,7,1,1,loyalty_recognition
5.2175,1,4,1,1,loyalty_recognition
0.295,1,2,1,0,none
3.4855,4,8,0,0,price_hesitation
2.0583,6,7,0,0,price_hesitation
2.5306,4,6,0,0,price_hesitation
3.7166,1,2,1,0,none
3.2156,2,3,1,0,none
8.0743,1,10,0,0,none
3.8286,0,9,1,0,none
0.6945,0,1,0,0,none
5.5645,4,5,0,0,price_hesitation
9.9354,3,6,1,1,loyalty_recognition
3.2933,6,9,1,1,loyalty_recognition
3.2191,3,7,1,0,price_hesitation
2.1614,3,6,0,0,price_hesitation
3.8558,6,7,1,0,price_hesitation
5.3089,4,5,1,0,technical_friction
7.32,3,6,1,0,loyalty_recognition
0.3569,3,4,1,1,none
4.9517,1,2,1,0,technical_friction
7.0047,4,7,0,0,price_hesitation
8.8126,0,2,0,0,none
1.0939,0,0,0,0,none
1.673,1,2,1,0,none
2.5734,4,7,0,1,loyalty_recognition
3.5719,0,0,0,0,none
4.3072,1,3,1,0,technical_friction
4.4927,2,8,1,0,technical_friction
